,Avg. Area Income,Avg. Area House Age,Avg. Area Number of Rooms,Avg. Area Number of Bedrooms,Area Population,Price,Address
33,50218.70846300072,6.118808130610341,7.333554072097738,6.29,16810.783311257936,534305.1323349292,"039 Jordan Pike
Emilyville, ID 27442"
43,70421.4764876077,6.9070829699853125,7.634318731446652,4.44,43183.92848788104,1744932.210990927,"580 Lara Neck Apt. 541
Davidsonstad, ID 34638-9802"
89,67561.94206013891,5.251400747142777,7.658576338909918,4.04,35517.54187040426,1238938.2905319994,"02304 Brandon Stravenue Apt. 231
Cordovabury, ID 36688"
122,86924.35876562174,6.832939698754405,7.738295553417699,6.32,28719.41088814547,1809154.2893631738,"922 Mark Lodge
Matthewton, ID 71131-3139"
142,66547.18175159235,6.350672041927902,5.305000412053215,2.04,16741.964987126685,786407.9451174276,"249 Susan Canyon
North Jessica, ID 13412"
234,69607.13366543148,7.077680826112612,7.833081191677762,3.35,34609.040215179964,1514349.692197701,"8781 Robert Lakes Suite 880
East Wendy, ID 51813"
237,69031.9088775756,5.779976245903892,5.501755137617892,3.23,15660.403008354837,675536.3914885672,"36736 Kristi Radial
Port Carl, ID 35292-9269"
246,65382.88832347801,5.396819180014767,7.6483861137540226,6.08,41723.05474122701,1165253.0327180624,"945 Schneider Villages Apt. 519
West Brittneyburgh, ID 36371-1622"
307,57853.33019600966,6.500094305857644,7.31655100341926,4.36,47688.22659778629,1285933.4084066823,"507 Dorsey Harbor Suite 445
North Jacobbury, ID 07463"
334,71167.03414492463,7.328943583122292,9.44232501801567,4.35,35174.871339599966,1952622.401731699,"51952 Nelson Radial Apt. 701
West Joshuafort, ID 09690-7341"
343,76245.2184748448,7.955766597400693,7.826124970748363,3.12,32016.234756306465,1689120.4265200938,"7683 Susan Circles
Jimenezview, ID 13223-8250"
434,81182.15390530849,5.251586751132955,7.188679024662052,4.42,34141.18824055649,1131154.5183654232,"9758 James Stream
Port Bryanview, ID 99846-0784"
455,67284.4748478908,5.435725733768245,6.449025947170286,3.3,24942.885851374507,924728.537366032,"62937 Katherine Roads Suite 190
New Richardmouth, ID 32823"
497,81280.91055695803,5.875971756821648,5.2279881676896025,4.12,34933.196293502835,1239459.8148165469,"9117 Abigail Island
West Thomas, ID 72774-3622"
576,68270.75669370065,5.675103553602575,6.7955044309840025,4.42,31159.288708293763,1034779.1897331612,"2530 Willis Plains
Michaelville, ID 35987-0000"
627,71499.91565954227,6.024763926033676,6.511808718872203,3.04,41870.908385299954,1325503.4540826778,"6034 Stevens Key
Jessicabury, ID 53712"
765,62636.83009596572,5.86360706673985,5.796622943238027,3.18,51456.29762908463,1047226.966817666,"84212 Christopher Knoll Suite 747
Codymouth, ID 33963-6108"
958,67424.18822104644,5.367615821098807,7.601754383694308,6.11,32412.843141647696,1127260.1257513668,"23133 Parker Spur
Brianland, ID 10645"
1032,71371.43363081018,5.969905376273397,5.298417822529892,3.38,52265.60115657434,1418595.7271501643,"98797 Miller Manor
Kristinmouth, ID 05829"
1193,69186.62251764281,7.32827543895157,6.499033463043189,4.38,49505.78370106866,1575100.9127873238,"5281 King Motorway
Tinafort, ID 72673"
1230,76365.18056112714,4.540182059127849,8.5533434723245,3.4,19991.633401474297,1132146.3204353235,"4882 Jeremy Ferry
East Sharonberg, ID 41904-9783"
1245,58385.21537344073,7.588558819611766,6.406117576691048,2.3,41930.37500923844,1266209.7532091062,"1669 Evans River Suite 294
Millerport, ID 81544-1368"
1299,55768.791917271104,5.353215987701848,6.007036493751108,4.16,47989.680210941486,846095.9673147105,"0041 Brett Heights Suite 519
Annefurt, ID 69704"
1348,65182.71262513148,4.8540516212193,8.197046930732846,6.11,48109.11230469966,1311145.9682970895,"8336 Williamson Mountain Apt. 487
Caseyshire, ID 82582-8714"
1372,72683.5298750081,6.033750500630611,6.753219361038824,3.47,18539.100697544844,942508.962238668,"1512 Jamie Inlet Suite 784
Grimesside, ID 88370-3426"
1388,71183.73750529332,5.409874134777455,7.401814643488839,4.09,46955.01012923149,1375497.9729216115,"1442 Elizabeth Rue
North Jasmine, ID 74627-1634"
1454,68167.07984417693,5.981856486829157,6.658310365614533,2.47,13977.629784505923,776906.326934832,"227 Willis Divide
Petersview, ID 30955"
1467,62113.52207074285,5.0004961420508645,8.32855599528304,6.02,29401.14446297049,1166399.6717979263,"3978 Jacob Expressway Suite 998
Port Philipchester, ID 93126-7393"
1621,50716.04388335574,6.437928611027546,8.063694759801198,5.36,35879.91366699962,1092649.7088299526,"57489 Jennifer Spring Suite 154
East Elizabeth, ID 65823-9817"
1664,64661.930275849336,4.656695745072478,5.660253117440304,2.44,49457.179372768915,875904.5285939977,"3737 Hartman Rue
Reneestad, ID 69250-7718"
1766,71088.66890814947,4.527999083060696,6.3449436355469295,3.01,28750.64146342916,829868.2304469759,"58894 Chapman Skyway Suite 476
Port Kevin, ID 07728"
1784,87113.7922030133,5.360632459652583,6.384181936457624,2.42,31172.880167409294,1327975.2487410752,"206 Hays Underpass Suite 167
Zacharymouth, ID 28214"
1785,56827.21709294501,5.695537774513646,6.249293573809072,4.22,29506.487348197777,804170.2015536873,"01590 Dominique Springs
Randyborough, ID 02762"
1791,62745.03283768093,6.417465138389497,8.158035374909918,4.19,16737.552242528796,897479.9501690639,"5504 Wagner Mountain Apt. 189
Thomasside, ID 89781-6585"
1826,69320.32912039284,4.3123279180866465,5.9049279697711325,3.39,32668.934922088018,902350.419724823,"27953 Charlotte Inlet
Valerieside, ID 67284-0286"
1876,65817.20027888185,5.26800522404441,6.650298879516512,2.2,40674.7837742456,911071.8335530659,"4552 Steele Falls Suite 760
East Daniellefort, ID 71749-4245"
1884,80305.20644802418,4.966293763512928,7.314402944669799,3.39,22267.159296991704,1100632.3911398223,"64739 Cummings Village
Danabury, ID 56756-0145"
2146,63221.915038390485,7.370165243613262,7.8304721222756575,4.3,44348.42034110976,1571664.903072999,"23837 Kayla Lodge
North Susan, ID 23300"
2184,64059.44247458285,5.789113537189749,5.935699281251122,3.12,27865.99607169875,884891.4955195289,"979 Kiara Park Suite 926
New Joshuastad, ID 05392"
2359,78160.30843328686,6.9401204052266525,7.931539538170228,5.43,39984.958207674536,1832230.092736465,"49501 John Rapids
Buckborough, ID 73832"
2383,96901.08150593156,4.697997906885386,8.317774678851412,4.1,32824.796656098544,1642478.735656444,"8054 Smith Underpass
Lake Brian, ID 44748-2012"
2461,67909.3834884142,7.52014151947451,6.509616213750986,4.03,36742.343397665616,1482123.6246868188,"57071 Craig Radial Apt. 853
Cookfurt, ID 84624"
2534,79442.505795037,6.300600085463341,5.9832047216642525,2.45,4114.489353324316,965318.6957876944,"479 Kevin Wells
Deborahview, ID 06062-1191"
2547,74898.65868417957,7.330481279728954,4.878168680902394,3.45,32530.256307250023,1261239.2721713646,"48186 Pope Mews Apt. 453
Kellyside, ID 42041"
2587,70799.77310582844,6.212565023412397,7.321569047165145,5.06,33865.616966238216,1257217.289710507,"4628 Robert Manor
North Larry, ID 51296"
2588,95000.78637455146,5.370192751687836,8.030298780977516,5.45,44202.656140047,1986811.1701954128,"16355 Sullivan Turnpike
West Heather, ID 49211"
2755,66447.48322221053,4.376753749611677,8.422240324024308,4.31,48261.04958929466,1271396.518005975,"67534 Rachel Ways
Reyesberg, ID 51518"
2853,81699.92090223843,6.784351387659628,4.765058235157006,4.4,33957.00202947561,1250144.0124389715,"9945 Frederick Prairie Suite 777
Porterville, ID 63454"
2908,64861.913380367274,6.402507331241676,8.079372682725214,5.31,25032.136517753006,1240503.524121077,"950 Ellison Haven Suite 426
Port Annaburgh, ID 16828-6481"
2936,72788.16705802402,6.559882631541044,7.337689237101692,3.09,31765.897729013745,1390377.3749361932,"271 Melissa Rue
Port Blake, ID 78071-7206"
3034,85009.06739415483,6.469294551564735,6.774243351183741,3.39,48601.797455495216,1966139.9277506813,"196 Kelley Loop Suite 005
Angeltown, ID 16902-5142"
3098,68222.74258291932,6.3090693346945175,7.0570619208843866,6.22,32660.43971116007,1064703.3052359354,"005 Howard Court
South Samuel, ID 25951"
3108,74253.44319413943,4.404914661960602,5.280332632219748,3.25,44939.67255611734,1039794.7674478192,"0850 Jamie Extensions
Veronicaville, ID 52481"
3114,67305.62474521491,6.324094873945211,5.4828226034919645,2.42,39369.644117068034,1074456.4024904093,"642 Hawkins Fork Apt. 093
West Zachary, ID 72057"
3146,87444.16913627299,7.0780481907568715,4.959858561955727,3.37,51591.67556961375,1802294.2888986613,"77963 Sarah Knolls
Port Sarahchester, ID 62727"
3233,62060.94265751254,5.952779000509447,4.498698511686267,3.45,55583.93823098772,963655.5773858128,"767 Silva Walks Suite 235
Darrellbury, ID 04171"
3374,75885.4938214939,5.642095564836312,5.88209173376331,4.5,30067.477198112232,1127499.3837301766,"311 Hannah Valley
Wilsonstad, ID 43665"
3488,48629.25183087269,5.878229480466628,7.661603454177303,3.31,53564.16323332278,1209445.2203735302,"3818 Stevenson Springs Suite 756
Clarkburgh, ID 25629-0517"
3494,49346.25309142612,7.73357186632496,6.7491455315345945,2.23,35863.46855971082,1014513.2095314314,"68967 John Parkway Suite 011
Butlerhaven, ID 61957-5601"
3679,66496.72623104608,6.138062920206424,7.651811446558771,4.38,31227.0302403494,1417047.627110665,"43375 Thomas Ways
South Danielport, ID 58344-2248"
3753,66925.19934882202,5.153049571066983,8.396902676864114,3.16,42590.68516957605,1222412.019854086,"18422 Freeman Islands
North Samanthachester, ID 82969-9650"
3886,65904.80993466798,6.305504898577823,7.39157655434857,3.26,43800.050859355295,1636414.892073324,"18209 Francis Hollow
South Mistytown, ID 70388"
3960,53847.549685326034,5.400851894405206,6.063734592410071,4.25,23852.6949556382,569876.7748806281,"7639 Alexandra Way Apt. 400
Mooneystad, ID 09802"
4099,71324.30444571162,4.086691138650464,6.0209850356892805,2.29,27362.189910903595,858159.6196000497,"2720 Michelle Motorway Suite 701
West Robert, ID 94081"
4166,76452.80737882029,6.234492402285932,7.160787975976255,3.5,24441.96637398761,1220591.006042053,"07415 Megan Overpass
Tiffanymouth, ID 91241-4135"
4189,84657.62364312695,8.125141793920852,7.456779004185507,5.17,37068.48675729165,1921028.5698855328,"2462 Johnson Spring Suite 237
Douglasberg, ID 61833"
4265,89910.75164289806,6.22527927747815,5.662139683987958,4.45,37517.88304482415,1534156.311080115,"463 Kenneth Road Suite 441
Colonburgh, ID 94168-1507"
4295,74526.49852459227,5.6796892810025845,7.002164062409196,5.48,32518.48448892124,1250494.7397056855,"42650 Keith Groves
Chadborough, ID 03114-2105"
4356,66706.07453415793,5.711785722333523,7.890367052773309,5.13,38981.04402857773,1206393.1814995254,"1836 Robert Greens Suite 745
Lake Patrickton, ID 77882"
4400,99317.82314540037,5.495860991149603,7.18272143989145,6.03,50350.352291575655,2219724.161793017,"87549 Garcia Path
Solomonside, ID 72003"
4528,74452.82103017729,5.1081476518539475,5.456042406756656,4.4,37298.071476047284,1065679.1208029888,"77636 Donald Avenue Apt. 063
Lake Savannahfort, ID 71155-2535"
4558,57227.32403710156,6.419142779980639,8.324158846640984,4.27,20744.00476179436,1002023.3582174428,"887 Samuel Street
North Carolville, ID 11574-6279"
4575,55306.91146521415,5.830789448812896,6.693980073791421,2.06,32446.99906870668,624244.9443876417,"16130 Jared Mountains Suite 452
South Stacie, ID 68079-4583"
4591,61592.93770114219,6.67710293684657,6.805077942937468,2.02,23011.96421832439,1060966.7414057308,"0808 Craig Views Suite 251
West Keith, ID 55946"
4643,53494.77376534212,6.520859828757372,8.167257906384911,4.1,41530.50954954794,1103485.7072640855,"3763 Lambert Islands
New Keithview, ID 84363"
4718,77595.07460306746,6.49247322044208,6.870963691043309,2.38,23825.97062118166,1185616.3400142193,"262 Jody Place Apt. 081
Port Brianland, ID 37750"
4821,70745.90880476378,6.17253664302728,7.831781332312668,3.0,34915.510208257365,1392313.7261295563,"515 Perkins Centers
Justinfurt, ID 88176"
4848,58725.63185123224,6.8193960839669625,6.025570210718759,2.27,22762.46618453746,866689.0911811923,"3321 Timothy Harbor
East Shannonhaven, ID 39704-4663"
4912,52193.01731044957,6.3341287467267575,7.4403320715618175,5.11,45134.84195531337,1107077.912966575,"1661 Lynn Grove
Floresbury, ID 25268"
4922,79522.97080476227,4.590627745404051,8.0442958754366,6.28,61223.99760748964,1727453.1546019888,"682 Taylor Prairie Apt. 893
Debramouth, ID 81085"
4984,62623.35982778393,5.0716241250198,6.771015065519388,3.33,50985.97120187618,1211899.6662200813,"9894 Greg Ridge
North Tiffanyhaven, ID 66602-9445"
